GEOID,NAME,median_income,total_units,owner_occupied,renter_occupied,total_renters,total_population,white_population,black_population,median_home_value,pct_owner_occupied,pct_renter_occupied,pct_cost_burdened,pct_minority
260650041001,Block Group 1; Census Tract 41; Ingham County; Michigan,69118,158,22,136,136,1167,986,44,326700,0.13924050632911392,0.8607594936708861,0.1323529411764706,0.1550985432733505
260650041002,Block Group 2; Census Tract 41; Ingham County; Michigan,13103,670,70,600,600,1544,1356,50,213000,0.1044776119402985,0.8955223880597015,0.7666666666666667,0.12176165803108807
260650041003,Block Group 3; Census Tract 41; Ingham County; Michigan,26287,213,0,213,213,585,497,57,-666666666,0.0,1.0,0.7605633802816901,0.15042735042735045
260650041004,Block Group 4; Census Tract 41; Ingham County; Michigan,35123,696,29,667,667,1870,1690,5,-666666666,0.041666666666666664,0.9583333333333334,0.767616191904048,0.09625668449197866
260650043011,Block Group 1; Census Tract 43.01; Ingham County; Michigan,130409,403,350,53,53,1143,877,56,239400,0.8684863523573201,0.1315136476426799,0.0,0.23272090988626426
260650043012,Block Group 2; Census Tract 43.01; Ingham County; Michigan,49375,316,155,161,161,584,503,53,225800,0.49050632911392406,0.509493670886076,0.2484472049689441,0.13869863013698636
260650043013,Block Group 3; Census Tract 43.01; Ingham County; Michigan,40276,389,125,264,264,1193,894,172,190400,0.3213367609254499,0.6786632390745502,0.6098484848484849,0.25062866722548194
260650043014,Block Group 4; Census Tract 43.01; Ingham County; Michigan,74079,556,348,208,208,1538,1282,70,204200,0.6258992805755396,0.37410071942446044,0.1875,0.1664499349804941
260650043021,Block Group 1; Census Tract 43.02; Ingham County; Michigan,17866,574,0,574,574,947,596,0,-666666666,0.0,1.0,0.4912891986062718,0.3706441393875396
260650043022,Block Group 2; Census Tract 43.02; Ingham County; Michigan,15757,699,0,699,699,1278,785,9,-666666666,0.0,1.0,0.49642346208869814,0.3857589984350548
260650044021,Block Group 1; Census Tract 44.02; Ingham County; Michigan,34702,167,0,167,167,278,65,60,-666666666,0.0,1.0,0.17365269461077845,0.7661870503597122
260650044022,Block Group 2; Census Tract 44.02; Ingham County; Michigan,-666666666,26,0,26,26,49,14,0,-666666666,0.0,1.0,0.5384615384615384,0.7142857142857143
260650044023,Block Group 3; Census Tract 44.02; Ingham County; Michigan,-666666666,0,0,0,0,0,0,0,-666666666,0.0,0.0,0.0,0.0
260650044031,Block Group 1; Census Tract 44.03; Ingham County; Michigan,32361,536,137,399,399,1817,1218,162,170600,0.2555970149253731,0.7444029850746269,0.506265664160401,0.3296642817831591
260650044032,Block Group 2; Census Tract 44.03; Ingham County; Michigan,60703,283,97,186,186,438,211,122,216000,0.34275618374558303,0.657243816254417,0.1881720430107527,0.5182648401826484
260650044033,Block Group 3; Census Tract 44.03; Ingham County; Michigan,-666666666,0,0,0,0,0,0,0,-666666666,0.0,0.0,0.0,0.0
260650044901,Block Group 1; Census Tract 44.90; Ingham County; Michigan,-666666666,0,0,0,0,2315,1828,70,-666666666,0.0,0.0,0.0,0.2103671706263499
260650044902,Block Group 2; Census Tract 44.90; Ingham County; Michigan,-666666666,0,0,0,0,865,658,70,-666666666,0.0,0.0,0.0,0.23930635838150294
260650044911,Block Group 1; Census Tract 44.91; Ingham County; Michigan,-666666666,0,0,0,0,1213,921,185,-666666666,0.0,0.0,0.0,0.24072547403132727
260650044921,Block Group 1; Census Tract 44.92; Ingham County; Michigan,-666666666,0,0,0,0,3287,2612,310,-666666666,0.0,0.0,0.0,0.20535442652874958
260650044931,Block Group 1; Census Tract 44.93; Ingham County; Michigan,-666666666,0,0,0,0,1416,1006,73,-666666666,0.0,0.0,0.0,0.28954802259887
260650044941,Block Group 1; Census Tract 44.94; Ingham County; Michigan,-666666666,0,0,0,0,2918,2200,156,-666666666,0.0,0.0,0.0,0.2460589444825223
260650045001,Block Group 1; Census Tract 45; Ingham County; Michigan,51488,669,303,366,366,1619,863,142,146500,0.452914798206278,0.547085201793722,0.16666666666666666,0.4669549104385423
260650045002,Block Group 2; Census Tract 45; Ingham County; Michigan,106452,346,273,73,73,702,640,0,295700,0.7890173410404624,0.21098265895953758,0.2328767123287671,0.0883190883190883
260650045003,Block Group 3; Census Tract 45; Ingham County; Michigan,31691,778,67,711,711,1404,819,130,93600,0.08611825192802057,0.9138817480719794,0.3333333333333333,0.41666666666666663
260650046001,Block Group 1; Census Tract 46; Ingham County; Michigan,126875,1158,890,268,268,2720,2244,193,374200,0.768566493955095,0.231433506044905,0.4552238805970149,0.17500000000000004
260650046002,Block Group 2; Census Tract 46; Ingham County; Michigan,106875,742,721,21,21,1380,1237,30,255100,0.9716981132075472,0.02830188679245283,0.0,0.1036231884057971
260650047001,Block Group 1; Census Tract 47; Ingham County; Michigan,49866,638,501,137,137,1340,1123,24,253400,0.7852664576802508,0.21473354231974923,0.19708029197080293,0.16194029850746272
260650047002,Block Group 2; Census Tract 47; Ingham County; Michigan,58636,928,475,453,453,1718,1499,132,314800,0.5118534482758621,0.48814655172413796,0.017660044150110375,0.12747380675203723
260650048011,Block Group 1; Census Tract 48.01; Ingham County; Michigan,49097,705,103,602,602,1084,942,27,162200,0.14609929078014183,0.8539007092198582,0.2009966777408638,0.13099630996309963
260650048012,Block Group 2; Census Tract 48.01; Ingham County; Michigan,68031,1041,320,721,721,2097,1662,4,194400,0.30739673390970224,0.6926032660902978,0.23300970873786409,0.20743919885550788
260650048013,Block Group 3; Census Tract 48.01; Ingham County; Michigan,73375,525,396,129,129,1102,825,61,142000,0.7542857142857143,0.24571428571428572,0.0,0.25136116152450094
260650048021,Block Group 1; Census Tract 48.02; Ingham County; Michigan,104712,217,217,0,0,526,421,51,175200,1.0,0.0,0.0,0.19961977186311786
260650048022,Block Group 2; Census Tract 48.02; Ingham County; Michigan,78333,670,436,234,234,1279,1165,0,243600,0.6507462686567164,0.3492537313432836,0.5170940170940171,0.08913213448006252
260650048023,Block Group 3; Census Tract 48.02; Ingham County; Michigan,135979,507,485,22,22,1284,1043,28,276800,0.9566074950690335,0.04339250493096647,0.0,0.18769470404984423
260650049021,Block Group 1; Census Tract 49.02; Ingham County; Michigan,85288,447,138,309,309,1110,809,11,391200,0.3087248322147651,0.6912751677852349,0.0,0.2711711711711712
260650049022,Block Group 2; Census Tract 49.02; Ingham County; Michigan,29063,743,115,628,628,1876,1363,116,-666666666,0.15477792732166892,0.845222072678331,0.4410828025477707,0.273454157782516
260650049023,Block Group 3; Census Tract 49.02; Ingham County; Michigan,97321,288,240,48,48,623,529,38,331100,0.8333333333333334,0.16666666666666666,1.0,0.1508828250401284
260650049024,Block Group 4; Census Tract 49.02; Ingham County; Michigan,60260,673,238,435,435,1330,734,136,237500,0.3536404160475483,0.6463595839524517,0.5448275862068965,0.4481203007518797
260650049031,Block Group 1; Census Tract 49.03; Ingham County; Michigan,82216,1137,367,770,770,2768,1282,523,332400,0.3227792436235708,0.6772207563764292,0.21818181818181817,0.5368497109826589
260650049041,Block Group 1; Census Tract 49.04; Ingham County; Michigan,114107,860,525,335,335,2154,1458,204,284200,0.6104651162790697,0.38953488372093026,0.1791044776119403,0.3231197771587744
260650049042,Block Group 2; Census Tract 49.04; Ingham County; Michigan,97548,397,310,87,87,1080,858,135,264500,0.7808564231738035,0.21914357682619648,0.0,0.2055555555555556
260650049043,Block Group 3; Census Tract 49.04; Ingham County; Michigan,108787,539,386,153,153,1585,801,155,339700,0.7161410018552876,0.28385899814471244,0.10457516339869281,0.4946372239747634
260650050021,Block Group 1; Census Tract 50.02; Ingham County; Michigan,176579,578,578,0,0,1667,1062,27,356700,1.0,0.0,0.0,0.36292741451709654
260650050022,Block Group 2; Census Tract 50.02; Ingham County; Michigan,158056,378,361,17,17,1099,910,34,461500,0.955026455026455,0.04497354497354497,0.0,0.1719745222929936
260650050023,Block Group 3; Census Tract 50.02; Ingham County; Michigan,131197,389,295,94,94,1193,955,25,289300,0.7583547557840618,0.2416452442159383,0.06382978723404255,0.19949706621961438
260650050031,Block Group 1; Census Tract 50.03; Ingham County; Michigan,111538,1614,1250,364,364,3970,1762,106,429200,0.7744733581164808,0.2255266418835192,0.08241758241758242,0.5561712846347607
260650050041,Block Group 1; Census Tract 50.04; Ingham County; Michigan,74940,983,255,728,728,2213,1079,11,291300,0.25940996948118006,0.7405900305188199,0.12087912087912088,0.5124265702666064
260650050042,Block Group 2; Census Tract 50.04; Ingham County; Michigan,86411,305,284,21,21,888,768,0,277700,0.9311475409836065,0.06885245901639345,0.0,0.1351351351351351
260650050043,Block Group 3; Census Tract 50.04; Ingham County; Michigan,204042,428,428,0,0,1092,858,0,370200,1.0,0.0,0.0,0.2142857142857143
260650051001,Block Group 1; Census Tract 51; Ingham County; Michigan,66630,418,339,79,79,1321,1078,42,119500,0.8110047846889952,0.18899521531100477,0.3291139240506329,0.18395155185465561
260650051002,Block Group 2; Census Tract 51; Ingham County; Michigan,43802,487,223,264,264,1551,837,338,88500,0.45790554414784396,0.5420944558521561,0.2803030303030303,0.460348162475822
260650051003,Block Group 3; Census Tract 51; Ingham County; Michigan,49286,280,226,54,54,713,475,161,97900,0.8071428571428572,0.19285714285714287,0.5370370370370371,0.33380084151472655
260650052011,Block Group 1; Census Tract 52.01; Ingham County; Michigan,27454,644,178,466,466,1438,621,679,-666666666,0.27639751552795033,0.7236024844720497,0.19957081545064378,0.5681502086230876
260650052012,Block Group 2; Census Tract 52.01; Ingham County; Michigan,53272,540,239,301,301,900,563,257,65400,0.4425925925925926,0.5574074074074075,0.11627906976744186,0.37444444444444447
260650052013,Block Group 3; Census Tract 52.01; Ingham County; Michigan,93429,353,216,137,137,1209,777,300,127100,0.6118980169971672,0.3881019830028329,0.0,0.35732009925558317
260650052014,Block Group 4; Census Tract 52.01; Ingham County; Michigan,42708,421,228,193,193,816,706,62,76200,0.5415676959619953,0.4584323040380047,0.09844559585492228,0.13480392156862742
260650052015,Block Group 5; Census Tract 52.01; Ingham County; Michigan,33472,332,161,171,171,900,398,172,69800,0.48493975903614456,0.5150602409638554,0.4678362573099415,0.5577777777777777
260650052021,Block Group 1; Census Tract 52.02; Ingham County; Michigan,98889,584,384,200,200,2036,1511,247,195500,0.6575342465753424,0.3424657534246575,0.2,0.25785854616895876
260650052022,Block Group 2; Census Tract 52.02; Ingham County; Michigan,122800,702,651,51,51,2254,1790,219,261900,0.9273504273504274,0.07264957264957266,0.0,0.20585625554569653
260650053031,Block Group 1; Census Tract 53.03; Ingham County; Michigan,48231,821,29,792,792,1321,553,580,-666666666,0.03532277710109622,0.9646772228989038,0.23232323232323232,0.5813777441332324
260650053032,Block Group 2; Census Tract 53.03; Ingham County; Michigan,61617,626,611,15,15,1945,1135,25,169900,0.9760383386581469,0.023961661341853034,1.0,0.41645244215938304
260650053033,Block Group 3; Census Tract 53.03; Ingham County; Michigan,23865,475,234,241,241,870,541,40,127800,0.4926315789473684,0.5073684210526316,0.5435684647302904,0.3781609195402299
260650053034,Block Group 4; Census Tract 53.03; Ingham County; Michigan,80811,202,194,8,8,503,435,67,86200,0.9603960396039604,0.039603960396039604,0.0,0.13518886679920472
260650053041,Block Group 1; Census Tract 53.04; Ingham County; Michigan,59000,372,227,145,145,909,358,237,95000,0.6102150537634409,0.3897849462365591,0.2620689655172414,0.6061606160616062
